Name,Category,Cover,경로,독후감,완독년도
함께 자라기,"개발방법론, 소프트웨어",%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/book_%206.jpeg,,📝,2019
예테보리 쌍쌍바,소설,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/book_%201.jpg,,📝,2019
돌이킬 수 없는 약속,소설,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/book_%205.jpeg,,📝,2019
소프트웨어 장인,소프트웨어,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/book__.jpg,,,2019
좀머 씨 이야기,소설,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/book_.jpg,,,2019
언어의 온도,에세이,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/book_%204.jpeg,,,2019
진짜 부자 가짜 부자,투자,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/book_%203.jpeg,,,2020
"타이탄의 도구들 ",자기계발,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/book_%202.jpeg,,📝,2020
데일 카네기 인간관계론,자기계발,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/book_%201.jpeg,,,2020
"돈의 속성 ",투자,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/book_.jpeg,,,2020
커리어 스킬,"소프트웨어, 자기개발",%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/book_careerSkill.jpeg,,,2020
나미야 잡화점의 기적,소설,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/book_namiya.jpeg,,,2020
Clean Code,소프트웨어,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/book_cleanCode.jpeg,,,2020
바지 벗고 일하면 안 되나요?,경영론,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/book_pants.jpg,,,2020
데일 카네기 자기관리론,자기계발,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/book_myself.jpeg,,,2020
레버리지,경영론,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/800x0_(1).jpeg,,,2020
달러구트 꿈 백화점,소설,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/800x0%201.jpeg,,,2020
살아가는 데 꼭 필요한 최소한의 금융지식,금융,%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/800x0_(2).jpeg,,,"2020, 2023"
재택 HACKS,"업무, 자기개발",%EA%B2%8C%EC%9C%BC%EB%A6%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%A8/800x0.jpg,종이책,,2021
